# =========================================
# Dataset for classification, suitable for Gaussian Naive Bayes
# Developed by: Shahab Fatemi
# Date: 2025-07-10
# Features: x1, x2, x3
# Labels: y (low, medium, high)
# =========================================    
x1,x2,x3,y
86.3,3.6,128.8,high
100.8,0.0,164.7,high
19.6,2.6,149.3,medium
30.3,4.4,323.3,low
43.7,1.2,114.1,high
61.6,0.6,226.8,high
13.5,2.5,198.9,medium
37.8,4.4,290.9,medium
15.6,4.8,342.0,low
64.8,3.5,117.8,medium
64.7,2.3,103.1,high
14.1,4.3,248.8,low
47.9,3.0,154.9,high
6.3,4.9,236.6,low
7.9,1.8,221.2,medium
13.3,3.6,218.6,high
44.4,1.7,204.2,high
88.4,2.8,129.9,high
55.7,3.1,168.6,medium
52.4,3.5,163.7,medium
21.7,7.1,295.8,low
113.9,5.3,222.2,medium
70.1,2.0,125.5,high
28.5,3.0,121.1,high
35.2,3.2,118.5,medium
17.8,4.9,237.3,low
76.6,2.3,125.5,high
42.7,2.1,182.1,high
54.2,2.5,210.8,medium
43.5,4.3,198.2,high
26.0,4.3,285.6,low
68.9,3.6,261.9,medium
-0.1,3.9,229.1,low
9.7,3.5,328.1,low
79.0,3.9,79.7,high
62.6,3.8,198.0,medium
34.6,4.0,189.0,low
21.8,3.7,232.3,low
11.2,3.1,117.9,low
49.7,5.7,231.8,low
13.8,6.7,280.2,low
21.7,5.6,195.6,low
56.2,2.2,179.0,high
10.9,5.2,221.9,low
14.3,4.9,335.9,low
-2.7,5.1,223.4,low
113.6,1.9,149.3,high
77.0,1.6,137.5,high
39.2,2.4,195.9,medium
65.4,0.5,106.9,high
58.8,3.6,210.4,medium
47.8,2.2,228.4,medium
81.3,2.0,140.7,high
35.6,3.8,211.9,low
67.7,1.5,158.0,high
61.7,0.8,150.2,high
25.0,6.1,188.7,low
6.7,3.2,197.0,low
46.4,3.8,215.4,medium
22.1,3.3,225.0,low
61.1,2.8,102.8,high
38.5,3.7,242.9,low
50.0,6.1,212.1,low
61.4,2.0,258.3,medium
50.2,5.4,252.5,medium
8.6,4.6,167.1,low
21.3,3.7,342.2,low
91.7,2.2,111.0,high
4.1,4.6,250.7,low
54.2,3.0,245.2,medium
47.7,3.9,90.7,medium
10.3,2.6,202.0,medium
41.7,3.7,86.5,high
2.6,2.7,133.3,medium
24.9,1.6,159.7,medium
99.7,3.7,127.5,high
48.1,2.3,224.3,low
4.6,3.8,190.1,low
18.6,4.9,237.5,low
67.0,4.0,179.4,high
15.4,4.0,195.9,medium
48.8,3.1,150.7,medium
-6.8,4.5,261.0,low
57.6,4.5,210.1,medium
-17.8,3.8,312.3,low
34.2,4.1,199.0,medium
74.3,5.2,181.7,medium
19.3,6.2,233.2,low
9.3,4.7,256.3,low
11.2,4.4,282.1,low
45.2,5.6,143.7,medium
27.4,3.0,256.6,medium
26.9,4.8,120.1,low
48.2,1.8,129.6,high
-17.2,4.3,253.6,low
0.8,5.4,255.4,low
121.6,5.1,233.9,medium
0.4,2.6,161.0,medium
35.5,4.0,149.4,high
39.1,4.7,323.7,low
42.1,3.2,130.8,high
7.7,3.8,303.5,low
55.2,3.7,324.9,low
54.5,4.0,233.4,medium
28.8,2.3,132.4,high
87.2,0.3,220.8,high
46.8,4.2,103.4,medium
2.7,5.0,273.6,low
14.3,2.6,130.2,medium
25.6,2.8,266.0,low
8.1,3.4,222.6,medium
-21.0,4.1,225.3,high
37.4,5.0,238.2,low
104.1,3.4,120.4,high
51.6,1.7,174.6,high
39.0,5.6,207.1,medium
2.9,4.2,210.9,medium
45.3,3.5,202.2,high
44.6,3.5,237.1,medium
72.9,2.0,161.7,high
37.7,3.5,252.9,low
37.7,1.9,234.5,medium
33.3,2.8,230.7,medium
96.9,4.7,294.9,medium
3.1,3.7,254.8,medium
85.8,3.2,208.1,high
-5.2,5.1,186.8,low
105.7,5.4,191.2,medium
51.6,4.4,256.8,medium
29.1,6.0,201.1,high
30.3,2.1,253.1,medium
41.8,1.9,172.1,medium
32.6,3.1,167.8,medium
4.9,3.9,209.0,medium
45.0,3.9,161.7,high
24.1,5.2,112.7,high
18.6,2.8,340.5,medium
40.4,4.4,162.5,medium
32.1,7.4,197.1,medium
32.3,5.5,292.6,low
49.0,2.9,259.5,medium
45.5,3.6,202.4,medium
83.6,4.1,187.9,medium
63.7,6.2,217.3,medium
74.3,3.2,142.0,high
36.8,3.3,160.7,high
23.0,4.6,219.4,medium
-29.8,7.0,181.0,low
14.5,5.3,303.6,low
10.2,4.1,274.0,low
63.3,2.4,247.5,high
45.2,3.6,294.0,medium
19.7,3.6,133.6,high
4.3,3.1,155.5,medium
62.8,3.3,272.3,high
48.1,3.7,164.9,high
77.2,1.9,261.3,high
45.8,4.2,255.2,low
41.7,2.7,202.5,medium
10.5,4.8,284.9,low
76.3,1.6,160.4,high
59.7,2.3,238.1,medium
24.6,5.6,263.7,low
-3.2,4.5,168.9,low
8.6,5.3,252.7,low
-8.2,1.3,167.9,medium
113.3,3.1,183.7,high
22.0,3.3,219.2,high
13.3,3.4,238.5,medium
12.7,6.3,305.2,low
-7.8,4.1,234.8,low
72.9,2.9,211.3,high
43.7,2.6,268.9,high
23.3,4.9,331.8,low
29.8,4.0,271.8,low
30.0,-0.6,159.0,high
16.5,5.7,214.6,medium
-1.9,5.9,201.5,low
81.2,3.3,207.1,high
79.2,3.7,133.2,medium
68.9,4.1,196.0,high
29.4,3.7,287.1,low
49.0,0.2,182.6,high
89.1,3.3,84.8,high
-2.5,1.8,173.3,medium
79.4,2.3,181.4,high
47.9,2.3,123.6,high
15.5,1.0,171.2,medium
20.1,4.5,295.3,low
24.0,3.7,290.3,low
