# Antenna Data
# This dataset contains measurements from various antennas, including their frequency, polarization, direction, impedance, signal-to-noise ratio (SNR), and gain.
# The dataset is used to analyze and predict antenna performance (Gain) based on these features.
#
Frequency,Polarization,Direction,Impedance,SNR,Gain
1.70E+04,Circular,0,36,,
2.75E+06,Linear,0.35,43,105.6708,2.12E+04
3.10E+05,Circular,0.35,46,127.6887,1.21E+05
2.64E+04,Circular,0.3,50,29.3048,4.00E+02
3.81E+03,Linear,0.31,42,37.9127,3.94E+02
3.16E+02,Circular,0,52,,
1.50E+06,Circular,0.35,45,111.5932,1.01E+05
3.66E+05,Linear,0.35,46,125.9434,6.45E+05
3.51E+03,Linear,0,49,,
9.76E+03,Linear,0.29,48,26.6168,3.73E+02
2.29E+01,Circular,0.28,58,18.1094,1.87E+02
4.93E+02,Linear,0,47,,
1.77E+02,Linear,-1.23,45,0,1.05E+00
5.24E+01,Linear,0.11,55,0.235,6.93E-01
6.06E+04,Circular,0.31,43,36.7848,9.07E+03
2.13E+03,Linear,0,50,,
3.61E+03,Linear,0,54,,
6.32E+02,Linear,0,45,,
8.56E+02,Circular,0,47,,
1.49E+03,Linear,0,47,,
4.57E+01,Circular,0.16,48,0.7402,2.46E+00
1.65E+00,Circular,0.35,59,115.6203,9.93E+05
2.16E+01,Circular,0.28,51,20.8811,3.11E+02
3.49E+00,Circular,0.35,45,115.6203,9.38E+04
1.88E+05,Circular,0.35,53,132.9967,2.46E+05
2.55E+05,Linear,0.35,57,129.7401,1.51E+05
2.61E+02,Linear,0,49,,
2.06E+00,Circular,0.35,42,115.6203,1.72E+05
4.06E+02,Circular,0,47,,
6.40E+04,Circular,0.31,46,36.9492,7.54E+02
1.91E+03,Linear,0.27,50,14.6936,1.56E+02
1.48E+00,Circular,0.35,50,115.6203,4.57E+04
4.14E+03,Linear,0.26,47,10.784,1.18E+01
2.59E+03,Linear,0,53,,
2.16E+05,Linear,0.35,52,131.5114,1.16E+05
1.96E+03,Circular,0.3,61,32.6674,4.51E+02
1.60E+05,Linear,0.35,55,134.7901,5.28E+05
2.43E+00,Linear,0.35,43,115.6203,6.62E+05
1.73E+01,Circular,0.3,47,33.5025,4.28E+02
2.30E+04,Linear,0.26,54,10.9475,1.18E+02
1.36E+00,Linear,0.35,47,115.6203,3.15E+04
6.19E+01,Circular,0.05,56,0.0409,8.08E-01
1.01E+03,Circular,0,53,,
1.15E+01,Circular,0.32,45,60.6519,4.09E+03
3.37E+05,Circular,0.35,59,126.8146,5.25E+04
8.33E+02,Circular,0,49,,
6.58E+04,Circular,0.32,45,51.3187,4.66E+03
1.38E+02,Circular,-0.7,52,0,3.54E+00
5.90E+00,Circular,0.35,51,106.7549,7.20E+04
4.47E+04,Circular,0.3,56,34.8734,2.38E+03
8.44E+04,Circular,0.3,48,29.3733,1.15E+02
5.73E+04,Linear,0,50,,
1.02E+05,Linear,0.36,57,139.631,1.98E+05
1.87E+02,Linear,-1.38,51,0,1.95E+00
3.86E+05,Circular,0.35,49,125.3643,4.80E+04
2.79E+00,Linear,0.35,54,115.6203,3.02E+05
9.24E+03,Circular,0.3,54,32.7413,8.49E+02
5.94E+03,Circular,0.3,41,35.929,1.21E+03
2.70E+05,Linear,0.35,48,129.1523,1.13E+04
1.64E+01,Circular,0.31,47,36.9484,4.81E+02
1.99E+05,Linear,0.35,51,132.4016,2.18E+05
5.39E+01,Circular,0.1,56,0.1811,2.75E+00
7.72E+01,Circular,-0.07,43,0.0017,2.92E+00
1.50E+02,Circular,-0.85,47,0,4.26E+00
5.58E+00,Circular,0.35,48,110.758,8.44E+04
9.11E+01,Circular,-0.2,51,0.0001,4.25E-01
3.66E+01,Circular,0.21,56,2.9916,1.35E+00
4.35E+00,Linear,0.35,50,115.6203,1.15E+05
1.78E+01,Linear,0.3,56,31.8149,4.66E+02
1.84E+04,Circular,0.22,56,4.1905,5.39E+01
4.50E+03,Linear,0.28,51,17.0509,1.39E+01
2.43E+04,Linear,0.3,51,32.2703,2.81E+02
3.48E+04,Circular,0.3,46,34.7159,1.67E+03
2.15E+02,Linear,0,50,,
6.14E+02,Circular,0.26,52,9.9685,1.70E+01
8.80E+02,Circular,0.26,45,11.4307,3.88E+01
4.44E+05,Circular,0.35,61,123.9224,1.16E+05
1.42E+02,Linear,-0.75,58,0,6.05E-01
8.99E+03,Circular,0.27,58,14.4648,2.50E+01
2.47E+02,Circular,0,50,,
1.55E+05,Circular,0.35,57,135.0901,1.98E+05
4.59E+04,Circular,0.28,44,18.7614,1.61E+02
6.91E+05,Circular,0.35,58,119.3643,5.66E+04
2.70E+01,Circular,0.26,53,10.9765,2.97E+01
1.70E+00,Linear,0.35,47,115.6203,1.97E+05
1.14E+05,Linear,0.36,54,138.4128,3.20E+05
2.74E+03,Circular,0,58,,
6.02E+01,Circular,0.06,51,0.0566,2.70E+00
4.73E+00,Linear,0.35,48,115.6203,3.47E+05
6.96E+00,Circular,0.34,55,94.7158,2.85E+04
1.82E+06,Linear,0.35,55,109.6913,2.12E+05
3.32E+03,Linear,0,55,,
1.72E+06,Linear,0.35,46,110.233,1.26E+05
1.25E+04,Linear,0.3,50,28.844,1.98E+02
1.65E+04,Linear,0.3,55,33.5684,1.68E+02
2.32E+03,Linear,0,45,,
6.82E+03,Circular,0,48,,
3.06E+03,Linear,0.25,55,7.787,1.05E+01
1.77E+06,Circular,0.35,56,109.962,9.89E+04
3.53E+02,Circular,0.29,57,23.5396,5.60E+02
7.88E+02,Linear,0,51,,
7.31E+01,Circular,-0.04,51,0.0042,1.83E+00
1.23E+03,Circular,0.3,54,29.4167,1.44E+03
9.63E+01,Circular,-0.24,50,0,5.29E-01
5.69E+05,Linear,0.35,55,121.348,9.52E+04
5.28E+04,Linear,0.31,49,36.6862,3.25E+03
2.85E+05,Circular,0.35,53,128.5659,7.11E+05
2.77E+05,Linear,0.35,51,128.8589,6.11E+05
5.28E+00,Linear,0.35,46,114.3833,1.16E+05
1.38E+06,Circular,0.35,53,112.4133,1.24E+05
7.36E+00,Linear,0.34,57,90.8138,3.65E+04
7.25E+02,Circular,0,54,,
1.24E+02,Circular,-0.53,46,0,3.82E-01
2.72E+04,Circular,0.31,51,40.402,1.18E+03
2.52E+03,Circular,0.3,52,28.5508,6.94E+01
1.73E+05,Linear,0.35,55,133.8919,1.80E+05
2.50E+04,Circular,0.3,52,31.7796,8.23E+02
5.43E+00,Circular,0.35,49,112.6608,4.53E+04
9.83E+02,Linear,0,47,,
1.53E+03,Linear,0.3,59,32.4748,1.61E+02
7.06E+02,Linear,0,58,,
3.74E+02,Circular,0,54,,
4.82E+01,Circular,0.14,56,0.4817,2.06E+00
1.46E+06,Linear,0.35,53,111.8662,3.60E+04
3.37E+01,Linear,0.23,47,4.5278,5.67E+00
3.34E+02,Linear,0,52,,
3.76E+01,Linear,0.2,63,2.5749,1.24E+00
9.44E+00,Circular,0.33,43,73.7316,1.37E+04
4.03E+03,Linear,0.28,57,20.684,2.23E+02
8.93E+00,Linear,0.33,48,77.4865,5.90E+03
3.27E+05,Linear,0.35,43,127.1056,7.60E+04
2.09E+06,Linear,0.35,51,108.3428,3.54E+04
4.79E+02,Circular,0.3,54,30.3636,3.44E+02
2.63E+01,Linear,0.26,52,12.0332,1.17E+02
1.24E+01,Circular,0.32,50,55.0743,1.50E+03
1.33E+03,Linear,0.25,47,7.53,3.50E+01
1.85E+00,Circular,0.35,47,115.6203,4.92E+04
1.43E+01,Linear,0.31,52,45.8772,3.42E+03
1.08E+06,Circular,0.35,54,114.8917,6.53E+04
6.18E+05,Circular,0.35,43,120.4958,3.42E+05
1.11E+05,Circular,0.36,54,138.7168,7.24E+05
9.11E+05,Linear,0.35,44,116.5589,5.85E+04
4.41E+02,Linear,0,43,,
4.56E+05,Linear,0.35,44,123.635,9.91E+04
3.41E+03,Circular,0,50,,
2.42E+05,Circular,0.35,53,130.3292,9.49E+04
3.95E+02,Circular,0,57,,
2.12E+04,Linear,0.29,60,24.627,2.61E+02
1.08E+05,Circular,0.36,53,139.0212,5.17E+04
1.21E+05,Linear,0.36,51,137.8057,7.19E+04
5.39E+05,Linear,0.35,50,121.9177,2.63E+05
2.21E+02,Circular,0.28,59,20.7745,3.95E+01
8.16E+01,Linear,-0.11,53,0.0006,4.52E-01
8.10E+02,Linear,0,40,,
3.02E+01,Linear,0.24,43,7.3074,9.88E+00
1.05E+01,Circular,0.33,50,66.2487,3.34E+03
1.09E+04,Linear,0.29,52,27.6691,9.75E+02
1.86E+03,Circular,0,47,,
3.68E+00,Circular,0.35,50,115.6203,3.34E+04
6.91E+01,Linear,-0.01,50,0.0096,4.85E-01
4.86E+04,Linear,0.3,54,32.4291,1.94E+02
4.47E+00,Linear,0.35,48,115.6203,4.68E+05
3.12E+04,Circular,0.19,44,1.7704,4.49E+00
1.52E+04,Linear,0.31,40,41.2586,3.51E+03
6.49E+02,Circular,0,50,,
8.05E+03,Circular,0.3,55,28.662,9.21E+01
3.58E+00,Circular,0.35,55,115.6203,3.11E+03
4.82E+05,Circular,0.35,53,123.0613,2.32E+05
8.62E+01,Linear,-0.15,48,0.0002,1.24E+00
1.42E+06,Linear,0.35,50,112.1396,4.71E+04
7.99E+00,Circular,0.34,48,85.0528,1.15E+04
2.76E+02,Circular,0,44,,
3.89E+04,Linear,0.29,52,25.5826,1.40E+02
1.29E+00,Linear,0.35,46,115.6203,3.21E+05
8.86E+05,Circular,0.35,47,116.8379,9.58E+04
9.30E+02,Circular,0.29,59,21.4457,1.79E+02
2.29E+05,Circular,0.35,52,130.9196,2.02E+05
