# =========================================
# Dataset for regression
# Developed by: Shahab Fatemi
# Date: 2024-10-17
# Features: mass (m), acceleration (a), friction coefficient (mu)
# Target: Applied Force (F)
#
#     Mass is given in kilograms (kg),
#     Acceleration is in meters per second squared (m/s2),
#     Friction coefficient (mu) is unitless,
#     Force is calculated in Newtons (N)
#
# The data is generated for educational purposes only.
#
# MIT License — Shahab Fatemi (2025); 
# For use in the Machine Learning in Physics course, Umeå University, Sweden 
# See the full license text in the parent folder.
# =========================================
mass,acceleration,mu,F
1.611,1.189,0.027,2.223
2.056,1.733,0.157,4.686
2.056,2.278,0.005,4.605
1.833,3.367,0.005,6.391
1.389,0.644,0.027,1.082
1.833,3.911,0.178,8.429
1.833,1.189,0.135,3.148
1.611,0.644,0.070,1.438
2.278,2.822,0.200,8.179
0.722,1.733,0.135,1.639
2.278,0.644,0.027,1.856
0.500,3.911,0.135,2.240
1.833,1.733,0.135,4.227
2.500,3.911,0.070,10.460
2.500,1.733,0.178,6.114
2.278,5.000,0.200,12.993
0.944,4.456,0.005,4.104
2.278,4.456,0.070,10.762
2.056,3.367,0.027,7.211
1.167,0.644,0.200,1.472
1.611,2.278,0.200,4.897
0.722,3.911,0.092,3.018
1.167,3.911,0.027,4.842
1.611,1.189,0.157,2.736
0.944,0.644,0.005,0.715
0.944,1.733,0.113,2.058
0.722,0.100,0.027,0.182
2.500,4.456,0.135,12.441
2.500,0.100,0.048,0.501
2.500,2.278,0.157,7.066
1.167,2.278,0.135,3.208
0.722,1.733,0.200,1.821
1.833,1.189,0.027,2.486
1.389,5.000,0.200,8.016
1.167,3.911,0.005,4.647
0.722,5.000,0.178,4.107
1.833,4.456,0.157,9.166
1.611,4.456,0.092,7.586
2.500,0.100,0.027,0.324
0.500,2.822,0.200,1.762
1.167,1.189,0.178,2.167
0.500,5.000,0.135,2.842
1.167,0.644,0.048,0.969
2.500,3.911,0.092,10.684
0.944,5.000,0.200,5.268
0.944,3.911,0.157,4.213
2.500,1.189,0.092,3.802
1.833,0.100,0.027,0.338
1.389,1.733,0.200,3.341
2.278,1.733,0.157,5.265
1.611,3.911,0.005,6.221
2.278,3.911,0.200,10.719
0.944,3.367,0.027,3.294
1.611,3.911,0.178,7.598
0.500,1.189,0.070,0.749
0.500,1.733,0.005,0.971
1.833,0.644,0.157,2.272
0.500,0.644,0.005,0.292
0.944,1.189,0.027,1.093
2.278,1.189,0.005,2.677
0.944,5.000,0.135,5.160
0.500,2.822,0.092,1.459
1.611,2.278,0.048,4.023
0.944,0.100,0.200,0.817
1.833,0.100,0.092,0.783
1.833,5.000,0.048,9.666
1.833,3.367,0.048,6.521
2.278,3.367,0.135,8.845
0.500,3.911,0.005,2.052
1.611,2.278,0.070,4.116
0.722,0.100,0.157,0.406
1.389,5.000,0.070,7.474
1.611,5.000,0.005,8.012
2.056,2.278,0.027,4.831
0.944,5.000,0.048,4.849
0.944,4.456,0.200,5.029
1.833,2.822,0.048,5.353
0.500,1.733,0.200,1.162
1.611,4.456,0.200,8.311
1.167,0.100,0.157,0.723
1.833,3.911,0.200,8.355
0.500,3.367,0.135,1.962
0.944,3.911,0.113,4.085
0.500,3.367,0.157,1.919
1.167,0.644,0.178,1.463
1.611,2.278,0.178,4.620
2.500,5.000,0.178,14.115
2.056,0.644,0.092,1.927
2.056,2.822,0.070,6.321
1.167,1.189,0.157,2.061
1.167,4.456,0.048,5.340
1.389,2.822,0.027,4.099
1.611,1.189,0.048,2.380
0.944,0.644,0.178,1.235
2.056,4.456,0.157,10.447
1.389,1.733,0.135,3.174
2.056,3.367,0.092,7.843
0.500,4.456,0.178,2.688
0.500,3.367,0.070,1.848
2.278,1.189,0.135,4.055
2.056,0.644,0.135,2.475
1.167,2.822,0.027,3.561
2.500,1.733,0.135,5.592
0.944,2.822,0.135,3.300
1.833,1.733,0.113,3.937
1.833,2.278,0.092,4.763
1.611,2.822,0.092,5.248
2.500,2.822,0.200,8.698
0.722,3.367,0.178,2.801
2.500,0.644,0.157,3.072
1.611,1.189,0.178,3.137
2.278,1.189,0.070,3.175
2.500,4.456,0.113,12.145
2.278,0.644,0.135,2.575
0.500,4.456,0.135,2.570
1.389,1.733,0.048,2.612
0.722,4.456,0.092,3.493
2.500,3.911,0.178,11.437
1.611,1.733,0.092,3.294
0.944,5.000,0.092,4.945
2.278,5.000,0.048,11.665
1.389,1.189,0.113,2.216
2.056,0.644,0.070,1.856
0.944,3.367,0.005,3.107
0.944,1.733,0.157,2.165
1.611,2.822,0.200,5.688
1.611,4.456,0.070,7.455
1.389,2.278,0.113,3.892
2.278,3.367,0.157,9.048
2.278,0.100,0.005,0.259
1.611,5.000,0.200,9.187
2.278,2.278,0.200,6.809
0.944,3.367,0.113,3.598
2.500,5.000,0.113,13.650
1.611,1.189,0.200,3.128
0.500,2.822,0.113,1.582
0.722,1.189,0.005,0.874
0.944,0.644,0.113,0.982
0.500,1.189,0.113,0.794
0.500,3.911,0.048,2.084
0.500,2.278,0.092,1.302
0.944,2.278,0.157,2.601
2.056,1.189,0.027,2.668
0.944,4.456,0.027,4.173
2.278,5.000,0.070,11.962
2.500,0.644,0.092,2.518
2.278,0.644,0.005,1.540
0.944,2.278,0.092,2.483
2.278,1.189,0.048,3.244
1.167,1.189,0.027,1.487
1.833,2.278,0.070,4.575
0.722,2.822,0.178,2.491
2.500,3.911,0.157,11.176
1.389,1.189,0.200,2.644
2.500,2.278,0.027,6.047
1.389,3.367,0.048,5.031
1.167,0.100,0.200,0.884
1.833,5.000,0.157,10.162
0.500,3.367,0.005,1.544
2.278,4.456,0.092,10.820
1.611,5.000,0.113,8.697
2.056,3.367,0.157,8.037
1.833,2.278,0.200,5.750
1.833,2.822,0.005,5.163
2.278,3.367,0.113,8.728
1.833,3.367,0.178,7.221
0.944,5.000,0.178,5.278
1.833,4.456,0.200,9.532
1.167,0.644,0.092,1.059
1.167,0.644,0.005,0.755
1.167,3.367,0.027,3.953
1.389,3.911,0.200,6.684
0.722,0.644,0.005,0.543
2.500,4.456,0.200,13.026
1.389,4.456,0.135,6.752
1.167,3.367,0.070,4.104
0.944,2.822,0.092,2.979
0.944,2.822,0.200,3.254
2.278,0.100,0.048,0.547
1.833,3.911,0.157,8.201
1.389,5.000,0.092,7.350
1.833,3.911,0.005,7.136
1.167,3.911,0.157,5.474
1.611,1.189,0.135,2.755
2.278,2.278,0.113,6.160
0.722,1.733,0.157,1.825
1.167,2.822,0.113,3.795
1.167,3.367,0.113,4.293
2.500,2.278,0.048,6.120
2.056,2.278,0.200,6.368
2.500,2.278,0.178,7.328
2.278,1.189,0.200,4.323
1.833,2.822,0.135,6.052
0.722,5.000,0.200,4.157
0.944,0.644,0.070,0.877
1.389,0.100,0.178,1.209
1.167,1.733,0.048,2.245
0.944,0.100,0.178,0.635
1.833,0.644,0.070,1.805
0.500,3.911,0.178,2.102
0.500,1.189,0.200,0.969
1.611,1.733,0.113,3.452
1.833,5.000,0.113,9.957
1.611,2.822,0.157,5.466
2.278,1.733,0.135,4.889
1.611,5.000,0.135,8.855
0.722,3.367,0.113,2.687
2.500,0.644,0.178,3.125
1.389,5.000,0.113,7.538
2.278,1.189,0.092,3.500
0.500,3.367,0.113,1.782
0.722,2.278,0.027,1.822
2.500,1.189,0.113,3.990
2.278,1.189,0.157,4.142
1.833,2.822,0.113,5.985
1.167,1.733,0.027,2.099
1.833,3.367,0.092,6.906
0.944,2.278,0.200,2.809
2.500,0.100,0.157,1.839
2.056,0.100,0.178,1.439
1.167,0.100,0.113,0.665
2.056,1.733,0.092,4.338
2.500,3.911,0.113,10.904
0.500,2.278,0.200,1.514
2.278,5.000,0.135,12.528
0.500,0.100,0.048,0.081
1.611,2.278,0.092,4.347
1.167,2.822,0.005,3.312
2.500,0.100,0.092,1.083
1.611,1.733,0.135,3.496
1.167,2.278,0.092,3.023
2.500,5.000,0.092,13.404
1.389,4.456,0.027,6.349
1.611,3.911,0.113,7.077
0.500,1.733,0.070,1.153
0.500,1.733,0.027,0.819
0.944,1.733,0.027,1.705
2.500,3.367,0.070,9.134
0.722,5.000,0.048,3.738
1.167,1.733,0.070,2.566
0.500,0.100,0.070,0.297
0.944,0.100,0.092,0.199
1.611,0.644,0.092,1.759
2.056,5.000,0.200,11.715
1.167,0.100,0.135,0.644
0.722,0.100,0.200,0.517
1.389,1.733,0.005,2.511
0.500,3.911,0.157,2.414
0.500,4.456,0.092,2.301
0.944,4.456,0.135,4.678
0.500,4.456,0.048,2.289
2.500,5.000,0.027,12.920
2.056,4.456,0.200,10.674
2.278,5.000,0.092,12.145
1.167,5.000,0.178,6.591
1.167,1.189,0.070,1.609
1.611,0.644,0.200,2.160
2.500,0.644,0.135,2.914
2.500,1.189,0.048,3.393
0.500,0.100,0.113,0.298
2.056,1.733,0.027,3.706
1.389,3.367,0.113,5.346
0.500,5.000,0.157,2.754
0.944,3.367,0.135,3.741
1.167,2.822,0.157,3.952
2.278,3.367,0.178,9.065
2.056,5.000,0.178,11.429
1.167,4.456,0.005,5.235
1.833,1.733,0.027,3.480
1.167,4.456,0.027,5.110
1.389,5.000,0.005,6.849
0.722,0.644,0.178,1.128
2.500,0.100,0.005,0.331
0.944,2.822,0.005,2.728
1.611,1.189,0.070,2.372
0.500,0.100,0.200,0.616
0.722,5.000,0.135,4.095
1.833,0.100,0.070,0.697
0.500,4.456,0.027,2.199
2.056,4.456,0.070,9.766
1.611,4.456,0.157,8.086
2.056,5.000,0.157,11.596
0.944,1.733,0.200,2.341
0.944,5.000,0.005,4.728
0.944,0.644,0.027,0.582
2.056,0.644,0.157,2.423
1.167,2.822,0.200,4.225
1.389,2.278,0.200,4.208
0.944,1.189,0.157,1.605
2.500,2.822,0.005,7.229
2.500,2.278,0.135,6.771
2.056,5.000,0.135,11.338
1.611,0.100,0.027,0.417
1.389,3.367,0.092,5.255
1.167,3.367,0.048,4.004
1.389,3.367,0.178,5.504
2.500,1.733,0.113,5.353
1.389,1.189,0.178,2.644
0.500,0.100,0.157,0.498
0.722,2.822,0.113,2.416
1.611,2.278,0.027,3.696
1.389,2.278,0.005,3.110
1.389,4.456,0.048,6.425
1.389,1.189,0.048,1.943
2.056,3.911,0.178,9.456
2.500,2.278,0.200,7.520
1.167,1.733,0.092,2.306
1.611,3.911,0.135,6.958
2.500,1.733,0.092,5.056
1.611,3.367,0.157,6.281
1.611,5.000,0.092,8.619
1.611,1.733,0.005,2.937
1.611,4.456,0.027,7.299
2.056,0.100,0.157,1.339
1.389,2.278,0.178,4.024
1.389,2.822,0.070,4.269
0.944,1.189,0.178,1.754
1.167,2.822,0.048,3.777
2.056,1.189,0.178,3.892
0.944,0.644,0.048,0.690
0.500,3.911,0.200,2.495
0.722,2.278,0.178,2.197
1.167,0.100,0.048,0.420
1.833,1.189,0.178,3.305
2.056,3.911,0.157,9.260
1.611,0.100,0.135,1.019
1.167,2.278,0.048,2.766
1.389,4.456,0.113,6.722
2.056,0.644,0.027,1.403
0.722,1.733,0.070,1.530
2.056,0.100,0.070,0.818
1.167,0.644,0.027,0.829
2.056,1.189,0.048,2.934
1.833,1.189,0.200,3.616
0.500,0.100,0.005,0.033
1.167,0.644,0.135,1.298
2.056,0.100,0.135,1.357
1.611,2.278,0.157,4.559
2.278,3.911,0.048,9.388
1.611,1.733,0.048,3.096
1.389,3.911,0.157,6.312
1.389,0.100,0.092,0.626
0.722,3.911,0.048,2.858
0.722,1.189,0.113,1.200
1.167,5.000,0.092,6.210
1.389,1.189,0.005,1.640
1.611,2.822,0.048,4.892
2.500,0.100,0.070,0.756
0.500,5.000,0.005,2.520
2.500,1.733,0.200,6.032
0.722,4.456,0.027,3.371
0.944,3.911,0.092,3.927
2.278,5.000,0.113,12.222
0.500,3.367,0.200,1.989
0.944,5.000,0.027,4.811
0.722,1.733,0.027,1.258
1.167,0.100,0.005,0.094
1.389,1.189,0.092,2.287
1.167,1.189,0.135,1.979
0.722,2.278,0.092,1.797
1.389,1.189,0.070,2.038
1.611,4.456,0.005,7.281
0.722,1.733,0.113,1.539
1.389,2.822,0.005,3.846
0.722,3.367,0.092,2.686
0.500,1.189,0.178,0.972
2.056,3.911,0.070,8.592
0.722,5.000,0.070,3.660
1.167,4.456,0.178,6.009
2.278,2.822,0.048,6.912
0.722,3.367,0.200,3.168
2.056,0.100,0.113,1.057
0.722,2.278,0.005,1.485
0.722,3.911,0.070,2.946
0.500,0.100,0.135,0.401
2.056,2.278,0.113,5.475
1.389,3.911,0.178,6.235
0.500,3.911,0.070,2.200
2.500,0.644,0.005,1.769
2.278,0.644,0.070,2.059
0.944,1.733,0.178,2.175
0.722,2.278,0.113,1.939
2.056,5.000,0.048,10.530
0.944,1.733,0.092,2.140
0.944,1.189,0.005,1.042
2.500,1.189,0.070,3.566
1.611,0.100,0.005,0.314
0.722,1.733,0.048,1.464
2.500,5.000,0.005,12.389
2.056,3.911,0.092,8.759
0.722,4.456,0.113,3.676
0.500,2.278,0.027,1.287
1.833,5.000,0.135,10.077
0.722,0.100,0.178,0.494
1.611,4.456,0.178,8.087
0.500,2.822,0.135,1.702
1.389,0.100,0.113,0.680
1.389,2.278,0.048,3.350
2.056,2.822,0.157,7.025
2.500,5.000,0.157,13.969
0.500,1.189,0.092,0.616
1.389,3.367,0.157,5.302
1.611,1.733,0.200,3.860
1.611,1.733,0.027,2.998
1.833,0.644,0.178,2.320
1.833,5.000,0.092,9.915
2.500,1.189,0.135,4.227
1.167,1.733,0.178,2.907
0.500,2.822,0.027,1.497
1.611,0.100,0.157,1.184
1.611,0.644,0.135,1.943
2.500,1.189,0.005,3.010
2.056,4.456,0.027,9.496
0.944,3.367,0.092,3.528
2.278,0.644,0.157,2.947
2.056,0.644,0.005,1.388
1.833,4.456,0.048,8.431
2.278,1.733,0.048,4.331
1.611,0.644,0.178,1.883
1.389,2.278,0.157,3.917
0.500,0.644,0.178,0.742
2.056,0.644,0.113,2.138
1.389,4.456,0.070,6.625
1.611,3.367,0.178,6.601
1.389,1.733,0.070,2.644
1.167,3.367,0.157,4.505
0.500,4.456,0.070,2.267
0.500,3.367,0.027,1.798
1.833,1.733,0.178,4.495
0.944,3.911,0.048,3.863
0.944,4.456,0.113,4.471
1.167,3.367,0.005,4.093
1.167,2.822,0.092,3.596
1.389,2.822,0.135,4.515
0.944,3.911,0.178,4.602
0.500,0.644,0.048,0.346
0.722,4.456,0.048,3.390
1.167,3.367,0.178,4.692
2.278,4.456,0.027,10.236
1.833,0.644,0.113,2.091
0.944,1.189,0.070,1.200
1.611,3.911,0.048,6.748
2.500,3.911,0.005,10.055
1.833,2.822,0.070,5.729
1.611,2.278,0.113,4.351
1.611,4.456,0.048,7.604
1.833,1.733,0.070,3.512
0.722,3.911,0.135,3.083
1.833,3.367,0.113,6.814
1.833,3.911,0.070,7.640
1.611,4.456,0.113,7.687
2.278,3.911,0.070,9.419
1.167,5.000,0.070,6.101
0.722,3.367,0.070,2.528
0.944,2.278,0.178,2.937
1.833,1.733,0.092,3.842
2.278,4.456,0.113,11.112
1.833,3.367,0.200,7.483
1.167,3.911,0.113,5.007
1.389,0.644,0.048,1.040
0.500,3.911,0.092,2.200
0.722,0.644,0.070,0.532
1.611,5.000,0.178,9.086
2.500,3.367,0.027,8.660
1.167,5.000,0.005,6.024
0.722,0.100,0.092,0.380
0.722,0.644,0.092,0.472
1.389,0.644,0.157,1.928
1.611,1.189,0.113,2.445
1.389,2.822,0.157,4.822
1.389,0.100,0.200,1.165
0.500,5.000,0.048,2.589
2.500,1.733,0.005,4.426
0.500,4.456,0.200,2.780
1.167,1.733,0.135,2.773
2.500,4.456,0.178,12.875
2.500,1.189,0.027,3.272
2.500,1.733,0.070,5.175
1.833,0.100,0.113,0.875
1.611,5.000,0.070,8.494
1.833,0.644,0.027,1.288
0.500,5.000,0.092,2.678
0.500,0.644,0.027,0.496
1.167,5.000,0.135,6.522
1.611,1.733,0.070,3.114
0.500,2.278,0.070,1.183
0.500,2.278,0.048,1.269
1.167,1.189,0.200,2.411
0.722,3.367,0.157,2.852
1.389,5.000,0.157,7.851
2.278,3.911,0.135,10.053
1.611,5.000,0.157,9.004
2.056,2.822,0.135,6.759
0.722,0.100,0.005,0.098
1.389,1.189,0.135,2.307
0.722,3.911,0.178,3.229
1.389,2.278,0.092,3.578
1.389,0.644,0.135,1.547
2.278,3.911,0.005,8.778
2.278,4.456,0.048,10.309
1.833,4.456,0.005,8.175
0.722,3.911,0.157,3.256
1.167,5.000,0.113,6.463
2.500,0.644,0.027,1.699
2.056,5.000,0.070,10.667
2.500,3.367,0.005,8.431
1.833,4.456,0.092,8.726
1.167,4.456,0.070,5.691
2.500,2.822,0.135,8.200
2.056,2.822,0.027,6.114
0.944,2.822,0.157,3.241
1.611,1.733,0.178,3.762
1.167,1.733,0.113,2.521
0.500,0.644,0.113,0.521
1.167,1.189,0.092,1.793
2.056,2.822,0.178,7.180
0.944,1.189,0.048,1.338
0.722,3.911,0.200,3.301
