# =========================================
# Dataset
# Developed by: Shahab Fatemi
# Date: 2024-04-20
# Features: 
#    - R (radial distance) in (m),
#    - Theta (polar angle) in (rad),
#    - Phi (gravitational potential) in (J/kg).
#
# The data is generated for educational purposes only.
#
# MIT License — Shahab Fatemi (2025); 
# For use in the Machine Learning in Physics course, Umeå University, Sweden 
# See the full license text in the parent folder.
# =========================================
R [meter],Theta [radian],Phi [J/kg]
2.536200E+07,0.0000E+00,-2.334045E+08
2.638673E+07,0.0000E+00,-2.238204E+08
2.741145E+07,0.0000E+00,-2.143463E+08
2.843618E+07,0.0000E+00,-2.079074E+08
2.946091E+07,0.0000E+00,-1.987438E+08
3.048564E+07,0.0000E+00,-1.938644E+08
3.151036E+07,0.0000E+00,-1.854956E+08
3.253509E+07,0.0000E+00,-1.791535E+08
3.355982E+07,0.0000E+00,-1.738905E+08
3.458455E+07,0.0000E+00,-1.676109E+08
3.560927E+07,0.0000E+00,-1.642546E+08
3.663400E+07,0.0000E+00,-1.604817E+08
3.765873E+07,0.0000E+00,-1.538928E+08
3.868345E+07,0.0000E+00,-1.512919E+08
3.970818E+07,0.0000E+00,-1.462558E+08
4.073291E+07,0.0000E+00,-1.417346E+08
4.175764E+07,0.0000E+00,-1.382332E+08
4.278236E+07,0.0000E+00,-1.351682E+08
4.380709E+07,0.0000E+00,-1.340677E+08
4.483182E+07,0.0000E+00,-1.286705E+08
4.585655E+07,0.0000E+00,-1.254422E+08
4.688127E+07,0.0000E+00,-1.250761E+08
4.790600E+07,0.0000E+00,-1.203055E+08
4.893073E+07,0.0000E+00,-1.175288E+08
4.995545E+07,0.0000E+00,-1.151796E+08
5.098018E+07,0.0000E+00,-1.127062E+08
5.200491E+07,0.0000E+00,-1.103348E+08
5.302964E+07,0.0000E+00,-1.100489E+08
5.405436E+07,0.0000E+00,-1.052269E+08
5.507909E+07,0.0000E+00,-1.058376E+08
5.610382E+07,0.0000E+00,-1.035456E+08
5.712855E+07,0.0000E+00,-1.013779E+08
5.815327E+07,0.0000E+00,-9.823685E+07
5.917800E+07,0.0000E+00,-9.778057E+07
6.020273E+07,0.0000E+00,-9.515426E+07
6.122745E+07,0.0000E+00,-9.353632E+07
6.225218E+07,0.0000E+00,-9.450453E+07
6.327691E+07,0.0000E+00,-9.251160E+07
6.430164E+07,0.0000E+00,-9.053740E+07
6.532636E+07,0.0000E+00,-8.816284E+07
6.635109E+07,0.0000E+00,-8.816064E+07
6.737582E+07,0.0000E+00,-8.696620E+07
6.840055E+07,0.0000E+00,-8.482878E+07
6.942527E+07,0.0000E+00,-8.379246E+07
7.045000E+07,0.0000E+00,-8.257882E+07
7.147473E+07,0.0000E+00,-8.195588E+07
7.249945E+07,0.0000E+00,-7.813980E+07
7.352418E+07,0.0000E+00,-7.687531E+07
7.454891E+07,0.0000E+00,-7.805757E+07
7.557364E+07,0.0000E+00,-7.608580E+07
7.659836E+07,0.0000E+00,-7.737714E+07
7.762309E+07,0.0000E+00,-7.650730E+07
7.864782E+07,0.0000E+00,-7.407415E+07
7.967255E+07,0.0000E+00,-7.351205E+07
8.069727E+07,0.0000E+00,-7.270909E+07
8.172200E+07,0.0000E+00,-7.130485E+07
8.274673E+07,0.0000E+00,-6.934040E+07
8.377145E+07,0.0000E+00,-6.927845E+07
