x,y_noisy
0.7876,3.9297
-3.8297,0.7959
0.9960,4.8484
-2.5150,0.0063
-3.3327,0.1408
1.3166,5.3091
1.0441,4.2129
-3.0120,0.4688
-3.9098,0.3099
2.2144,3.2853
-4.8557,0.3378
-1.8898,0.4696
1.5090,4.5725
-3.6533,-0.1420
0.9479,4.0311
1.2204,5.0177
2.9359,1.8486
-4.5190,-0.1064
0.0661,1.9089
1.5411,5.0397
2.8557,1.7586
2.8717,2.3271
-0.5110,1.0366
0.7074,3.0635
-3.7816,0.2079
2.3908,2.8020
2.9679,1.5087
-1.6172,0.9208
-3.3808,0.0332
0.3547,2.5530
2.6152,2.1288
0.3868,1.9027
2.0541,3.9791
-2.2265,0.4723
-4.9679,0.3758
0.3387,1.8580
1.5571,5.1895
-3.8778,0.3117
-1.6493,1.9990
-3.9900,-0.3179
1.1563,4.1681
-3.5090,0.0606
2.7756,1.3344
-2.0341,0.6563
-4.4709,-0.2867
-3.7655,0.0545
-5.0000,0.3143
-4.8236,-0.0643
1.6533,4.5858
-4.6473,0.1559
-3.8457,0.1547
-2.0822,-0.0669
-2.8998,0.2730
1.5731,5.2580
-1.9058,-0.1015
-4.1182,0.5261
-2.6273,0.4860
-4.7114,-0.2369
-1.7295,-0.1136
-3.7495,0.2118
2.9198,2.2671
-0.7996,-0.5014
0.1784,2.6573
2.7435,2.0450
-3.7335,-0.6189
-4.3747,0.2195
2.2305,3.6424
-4.2625,-0.0381
-1.1844,0.3446
1.2685,4.9425
0.6433,3.2266
0.4669,2.5162
-0.5591,0.7141
-0.3507,1.0467
0.0822,1.5369
-0.1263,1.3635
-0.7034,0.6780
-3.8938,-0.0919
2.2946,2.7478
2.4549,2.5269
-2.5311,0.4071
-3.6854,0.7704
2.6473,2.2831
-2.2425,0.3024
0.1463,2.0033
-3.5571,0.2270
-2.1142,0.6058
1.6373,5.0404
0.0020,1.8715
-0.5431,0.9943
1.1082,4.0949
2.5671,1.7317
0.8036,3.3236
0.1944,1.4463
1.9098,3.4653
0.5631,2.0998
-3.6212,0.5498
-3.7976,0.5008
2.0220,3.2478
-4.7595,-0.1005
-1.0080,0.8479
1.9419,4.4702
-4.6954,-0.4380
0.1623,1.4652
0.3226,2.1257
-4.1022,-0.1813
-0.1743,1.0905
-1.3287,0.8273
0.3066,1.7037
-2.8838,-0.1776
-2.8036,0.1273
1.7816,5.0214
0.3707,2.1388
-4.5992,0.1753
2.4389,2.6125
-0.4950,1.2689
-1.0401,0.4096
-1.2004,0.6776
-3.1242,-0.2441
-4.3267,0.0968
-1.4729,1.4341
-2.1784,0.3493
0.1303,1.7772
-2.5471,0.3806
-1.2966,0.6534
-1.3607,0.1133
1.6854,4.8802
-1.7455,0.8551
-2.9800,-0.1589
0.2745,2.2500
-4.5030,0.8759
-3.1884,1.2029
2.5351,2.3038
-0.6553,0.3113
-2.7555,0.3526
-4.0862,0.0316
-1.9218,0.4791
-4.6152,-0.0875
-4.7275,0.2514
-0.7515,0.3247
-3.9419,0.1345
-1.6653,0.6598
2.6794,2.5391
-3.4930,0.0360
-0.9439,1.1301
-0.7355,1.4867
-4.6313,-0.4403
-1.4409,0.7927
-0.8156,0.7621
1.8297,4.1239
-4.9198,0.0248
-3.1403,0.2080
-4.2786,-0.1426
-4.7435,-0.2801
2.4068,2.4639
0.7234,3.0036
-4.9519,0.7265
-1.5050,0.3044
1.4930,5.2489
-4.0381,-0.0338
-3.2365,-0.5541
0.0982,1.8160
1.8617,4.8448
-4.5351,0.0169
2.0060,3.4287
2.5511,1.4547
-4.5832,-0.3288
-4.8878,0.4266
2.2625,3.3633
-3.2685,0.3136
-4.4068,-0.6446
-2.4830,0.4860
2.8397,2.1417
-3.1082,0.6820
-3.1723,0.1421
-2.1944,0.6722
0.9800,4.3193
-2.0982,0.0156
-2.6914,0.3732
0.9158,3.4187
1.2525,4.3520
-1.8737,0.5579
1.4770,4.8173
-0.5912,1.1154
2.2786,2.9009
-2.7395,0.7864
0.8517,3.3599
-3.9259,0.5657
-1.6333,0.6906
-2.3066,0.2246
2.9038,1.3386
1.0120,3.7314
1.4128,4.3245
-0.6393,1.3619
-3.2525,0.1822
-1.0240,1.3845
-2.6754,0.5840
