# =========================================
# Dataset for regression
# Developed by: Shahab Fatemi
# Date: 2024-08-10
# Features: Mass, Radius, Temperature
# Target: Luminosity
#
#     Mass is given in solar masses, 
#     Radius is in solar radii
#     Temperature in Kelvin
#     Luminosity is normalized to solar luminosity.
#
# The data is made for educational purposes and has no scientific value.
# =========================================    
Mass,Radius,Temperature,Luminosity
1.8478,2.1276,7640,13.505
1.5455,1.2845,4931,0.977
0.7173,1.3484,7766,5.650
1.5621,1.0417,8142,4.599
1.2388,1.6109,5058,1.499
1.9595,1.3296,6078,2.241
1.5889,1.6673,9593,21.751
0.6155,0.6826,8089,1.646
0.7340,2.4517,6765,11.866
0.7615,2.4859,4900,2.817
0.5365,0.9947,6174,0.212
0.7940,1.6716,6178,4.191
1.4744,2.4746,4329,1.891
1.4938,1.7317,9343,19.973
1.8870,1.4091,5511,1.643
1.3525,1.2618,4028,0.470
1.3862,0.8038,5459,-0.054
1.5378,1.3365,9033,11.092
0.5772,1.2525,9439,11.310
1.7530,1.2497,7419,3.520
1.0377,2.1289,9817,38.260
1.7122,1.6469,6471,3.847
1.7795,2.0446,7572,11.866
0.9417,1.5403,4402,0.051
1.8613,1.1401,4380,0.894
0.5516,0.8464,5269,1.319
1.0070,2.4601,8031,21.508
1.2834,1.4479,5230,0.407
1.6424,1.4373,7201,5.594
1.4682,1.4011,7484,5.768
1.2871,0.8466,5661,0.861
0.6354,2.4243,4201,1.751
1.9233,0.7321,7193,0.910
1.1841,2.4097,7710,18.648
0.8559,0.5527,7113,0.813
1.3090,2.0047,8385,17.182
1.7993,1.1459,6186,1.039
0.6794,2.4810,5942,7.330
0.9676,1.7702,7562,8.929
1.7232,1.8660,7147,9.086
1.3419,2.0528,5454,2.544
1.6569,2.1898,4672,2.372
1.1984,0.6517,7916,1.027
1.0830,1.2763,6137,2.326
0.6111,0.5465,6387,0.928
1.0351,1.5912,5423,2.320
0.7929,2.0380,6990,8.667
1.4467,2.2294,6713,8.352
0.7418,2.4001,7574,16.855
1.2540,2.4994,6715,11.636
1.0116,1.7588,8164,12.133
0.9273,2.1256,5393,3.422
0.7657,0.7583,7794,1.665
1.5935,1.1380,9894,10.912
0.8237,0.8446,9378,4.639
1.5530,1.4842,4163,0.376
1.1413,1.3580,7487,4.596
1.6412,1.2440,7046,3.404
1.8506,1.0548,7035,2.749
1.6778,1.9758,6213,4.403
1.3654,2.4933,4845,3.861
0.9880,1.6509,7425,8.766
0.5871,1.5326,5238,1.247
1.4900,2.3023,9451,37.865
0.8397,2.2823,6384,8.791
1.4113,1.2119,8280,6.234
0.9382,1.8204,6223,4.301
1.9042,0.7680,4219,-0.449
0.6327,0.5530,5703,-0.190
